# rank15 plateau-suffix capacity ledger v1
# Every row is derived from the exact profile optimizer.
# t-columns are capacity:margin, with margin = capacity - 218*a; NA means t<W/lambda.
u	e	N	a	lambda	W	c0	t_min	t210	t211	t212	t213	t214	t215	t216	t217	t218	C	argmax_t	margin	classification
1043576	2393	1053576	72471	4999	1048614	-2514	210	15799854:1176	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640:4962	15803640	211,212,213,214,215,216,217,218	4962	RESIDUAL_M218
1043577	2392	1053575	72470	4998	1048410	-2500	210	15799630:1170	15803625:5165	15803625:5165	15803625:5165	15803625:5165	15803625:5165	15803625:5165	15803625:5165	15803625:5165	15803625	211,212,213,214,215,216,217,218	5165	RESIDUAL_M218
1043578	2391	1053574	72469	4997	1048206	-2486	210	15799406:1164	15803610:5368	15803610:5368	15803610:5368	15803610:5368	15803610:5368	15803610:5368	15803610:5368	15803610:5368	15803610	211,212,213,214,215,216,217,218	5368	RESIDUAL_M218
1043579	2390	1053573	72468	4996	1048002	-2472	210	15799182:1158	15803595:5571	15803595:5571	15803595:5571	15803595:5571	15803595:5571	15803595:5571	15803595:5571	15803595:5571	15803595	211,212,213,214,215,216,217,218	5571	RESIDUAL_M218
1043580	2389	1053572	72467	4995	1047798	-2458	210	15798958:1152	15803580:5774	15803580:5774	15803580:5774	15803580:5774	15803580:5774	15803580:5774	15803580:5774	15803580:5774	15803580	211,212,213,214,215,216,217,218	5774	RESIDUAL_M218
1043581	2388	1053571	72466	4994	1047594	-2444	210	15798734:1146	15803565:5977	15803565:5977	15803565:5977	15803565:5977	15803565:5977	15803565:5977	15803565:5977	15803565:5977	15803565	211,212,213,214,215,216,217,218	5977	RESIDUAL_M218
1043582	2387	1053570	72465	4993	1047390	-2430	210	15798510:1140	15803503:6133	15803550:6180	15803550:6180	15803550:6180	15803550:6180	15803550:6180	15803550:6180	15803550:6180	15803550	212,213,214,215,216,217,218	6180	RESIDUAL_M218
1043583	2386	1053569	72464	4992	1047186	-2416	210	15798286:1134	15803278:6126	15803535:6383	15803535:6383	15803535:6383	15803535:6383	15803535:6383	15803535:6383	15803535:6383	15803535	212,213,214,215,216,217,218	6383	RESIDUAL_M218
1043584	2385	1053568	72463	4991	1046982	-2402	210	15798062:1128	15803053:6119	15803520:6586	15803520:6586	15803520:6586	15803520:6586	15803520:6586	15803520:6586	15803520:6586	15803520	212,213,214,215,216,217,218	6586	RESIDUAL_M218
1043585	2384	1053567	72462	4990	1046778	-2388	210	15797838:1122	15802828:6112	15803505:6789	15803505:6789	15803505:6789	15803505:6789	15803505:6789	15803505:6789	15803505:6789	15803505	212,213,214,215,216,217,218	6789	RESIDUAL_M218
1043586	2383	1053566	72461	4989	1046574	-2374	210	15797614:1116	15802603:6105	15803490:6992	15803490:6992	15803490:6992	15803490:6992	15803490:6992	15803490:6992	15803490:6992	15803490	212,213,214,215,216,217,218	6992	RESIDUAL_M218
1043587	2382	1053565	72460	4988	1046370	-2360	210	15797390:1110	15802378:6098	15803475:7195	15803475:7195	15803475:7195	15803475:7195	15803475:7195	15803475:7195	15803475:7195	15803475	212,213,214,215,216,217,218	7195	RESIDUAL_M218
1043588	2381	1053564	72459	4987	1046166	-2346	210	15797166:1104	15802153:6091	15803460:7398	15803460:7398	15803460:7398	15803460:7398	15803460:7398	15803460:7398	15803460:7398	15803460	212,213,214,215,216,217,218	7398	RESIDUAL_M218
1043589	2380	1053563	72458	4986	1045962	-2332	210	15796942:1098	15801928:6084	15803445:7601	15803445:7601	15803445:7601	15803445:7601	15803445:7601	15803445:7601	15803445:7601	15803445	212,213,214,215,216,217,218	7601	RESIDUAL_M218
1043590	2379	1053562	72457	4985	1045758	-2318	210	15796718:1092	15801703:6077	15803430:7804	15803430:7804	15803430:7804	15803430:7804	15803430:7804	15803430:7804	15803430:7804	15803430	212,213,214,215,216,217,218	7804	RESIDUAL_M218
1043591	2378	1053561	72456	4984	1045554	-2304	210	15796494:1086	15801478:6070	15803415:8007	15803415:8007	15803415:8007	15803415:8007	15803415:8007	15803415:8007	15803415:8007	15803415	212,213,214,215,216,217,218	8007	RESIDUAL_M218
1043592	2377	1053560	72455	4983	1045350	-2290	210	15796270:1080	15801253:6063	15803400:8210	15803400:8210	15803400:8210	15803400:8210	15803400:8210	15803400:8210	15803400:8210	15803400	212,213,214,215,216,217,218	8210	RESIDUAL_M218
1043593	2376	1053559	72454	4982	1045146	-2276	210	15796046:1074	15801028:6056	15803385:8413	15803385:8413	15803385:8413	15803385:8413	15803385:8413	15803385:8413	15803385:8413	15803385	212,213,214,215,216,217,218	8413	RESIDUAL_M218
1043594	2375	1053558	72453	4981	1044942	-2262	210	15795822:1068	15800803:6049	15803370:8616	15803370:8616	15803370:8616	15803370:8616	15803370:8616	15803370:8616	15803370:8616	15803370	212,213,214,215,216,217,218	8616	RESIDUAL_M218
1043595	2374	1053557	72452	4980	1044738	-2248	210	15795598:1062	15800578:6042	15803355:8819	15803355:8819	15803355:8819	15803355:8819	15803355:8819	15803355:8819	15803355:8819	15803355	212,213,214,215,216,217,218	8819	RESIDUAL_M218
1043596	2373	1053556	72451	4979	1044534	-2234	210	15795374:1056	15800353:6035	15803340:9022	15803340:9022	15803340:9022	15803340:9022	15803340:9022	15803340:9022	15803340:9022	15803340	212,213,214,215,216,217,218	9022	RESIDUAL_M218
1043597	2372	1053555	72450	4978	1044330	-2220	210	15795150:1050	15800128:6028	15803325:9225	15803325:9225	15803325:9225	15803325:9225	15803325:9225	15803325:9225	15803325:9225	15803325	212,213,214,215,216,217,218	9225	RESIDUAL_M218
1043598	2371	1053554	72449	4977	1044126	-2206	210	15794926:1044	15799903:6021	15803310:9428	15803310:9428	15803310:9428	15803310:9428	15803310:9428	15803310:9428	15803310:9428	15803310	212,213,214,215,216,217,218	9428	RESIDUAL_M218
1043599	2370	1053553	72448	4976	1043922	-2192	210	15794702:1038	15799678:6014	15803295:9631	15803295:9631	15803295:9631	15803295:9631	15803295:9631	15803295:9631	15803295:9631	15803295	212,213,214,215,216,217,218	9631	RESIDUAL_M218
1043600	2369	1053552	72447	4975	1043718	-2178	210	15794478:1032	15799453:6007	15803280:9834	15803280:9834	15803280:9834	15803280:9834	15803280:9834	15803280:9834	15803280:9834	15803280	212,213,214,215,216,217,218	9834	RESIDUAL_M218
1043601	2368	1053551	72446	4974	1043514	-2164	210	15794254:1026	15799228:6000	15803265:10037	15803265:10037	15803265:10037	15803265:10037	15803265:10037	15803265:10037	15803265:10037	15803265	212,213,214,215,216,217,218	10037	RESIDUAL_M218
1043602	2367	1053550	72445	4973	1043310	-2150	210	15794030:1020	15799003:5993	15803250:10240	15803250:10240	15803250:10240	15803250:10240	15803250:10240	15803250:10240	15803250:10240	15803250	212,213,214,215,216,217,218	10240	RESIDUAL_M218
1043603	2366	1053549	72444	4972	1043106	-2136	210	15793806:1014	15798778:5986	15803235:10443	15803235:10443	15803235:10443	15803235:10443	15803235:10443	15803235:10443	15803235:10443	15803235	212,213,214,215,216,217,218	10443	RESIDUAL_M218
1043604	2365	1053548	72443	4971	1042902	-2122	210	15793582:1008	15798553:5979	15803220:10646	15803220:10646	15803220:10646	15803220:10646	15803220:10646	15803220:10646	15803220:10646	15803220	212,213,214,215,216,217,218	10646	RESIDUAL_M218
1043605	2364	1053547	72442	4970	1042698	-2108	210	15793358:1002	15798328:5972	15803205:10849	15803205:10849	15803205:10849	15803205:10849	15803205:10849	15803205:10849	15803205:10849	15803205	212,213,214,215,216,217,218	10849	RESIDUAL_M218
1043606	2363	1053546	72441	4969	1042494	-2094	210	15793134:996	15798103:5965	15803072:10934	15803190:11052	15803190:11052	15803190:11052	15803190:11052	15803190:11052	15803190:11052	15803190	213,214,215,216,217,218	11052	RESIDUAL_M218
1043607	2362	1053545	72440	4968	1042290	-2080	210	15792910:990	15797878:5958	15802846:10926	15803175:11255	15803175:11255	15803175:11255	15803175:11255	15803175:11255	15803175:11255	15803175	213,214,215,216,217,218	11255	RESIDUAL_M218
1043608	2361	1053544	72439	4967	1042086	-2066	210	15792686:984	15797653:5951	15802620:10918	15803160:11458	15803160:11458	15803160:11458	15803160:11458	15803160:11458	15803160:11458	15803160	213,214,215,216,217,218	11458	RESIDUAL_M218
1043609	2360	1053543	72438	4966	1041882	-2052	210	15792462:978	15797428:5944	15802394:10910	15803145:11661	15803145:11661	15803145:11661	15803145:11661	15803145:11661	15803145:11661	15803145	213,214,215,216,217,218	11661	RESIDUAL_M218
1043610	2359	1053542	72437	4965	1041678	-2038	210	15792238:972	15797203:5937	15802168:10902	15803130:11864	15803130:11864	15803130:11864	15803130:11864	15803130:11864	15803130:11864	15803130	213,214,215,216,217,218	11864	RESIDUAL_M218
1043611	2358	1053541	72436	4964	1041474	-2024	210	15792014:966	15796978:5930	15801942:10894	15803115:12067	15803115:12067	15803115:12067	15803115:12067	15803115:12067	15803115:12067	15803115	213,214,215,216,217,218	12067	RESIDUAL_M218
1043612	2357	1053540	72435	4963	1041270	-2010	210	15791790:960	15796753:5923	15801716:10886	15803100:12270	15803100:12270	15803100:12270	15803100:12270	15803100:12270	15803100:12270	15803100	213,214,215,216,217,218	12270	RESIDUAL_M218
1043613	2356	1053539	72434	4962	1041066	-1996	210	15791566:954	15796528:5916	15801490:10878	15803085:12473	15803085:12473	15803085:12473	15803085:12473	15803085:12473	15803085:12473	15803085	213,214,215,216,217,218	12473	RESIDUAL_M218
1043614	2355	1053538	72433	4961	1040862	-1982	210	15791342:948	15796303:5909	15801264:10870	15803070:12676	15803070:12676	15803070:12676	15803070:12676	15803070:12676	15803070:12676	15803070	213,214,215,216,217,218	12676	RESIDUAL_M218
1043615	2354	1053537	72432	4960	1040658	-1968	210	15791118:942	15796078:5902	15801038:10862	15803055:12879	15803055:12879	15803055:12879	15803055:12879	15803055:12879	15803055:12879	15803055	213,214,215,216,217,218	12879	RESIDUAL_M218
1043616	2353	1053536	72431	4959	1040454	-1954	210	15790894:936	15795853:5895	15800812:10854	15803040:13082	15803040:13082	15803040:13082	15803040:13082	15803040:13082	15803040:13082	15803040	213,214,215,216,217,218	13082	RESIDUAL_M218
1043617	2352	1053535	72430	4958	1040250	-1940	210	15790670:930	15795628:5888	15800586:10846	15803025:13285	15803025:13285	15803025:13285	15803025:13285	15803025:13285	15803025:13285	15803025	213,214,215,216,217,218	13285	RESIDUAL_M218
1043618	2351	1053534	72429	4957	1040046	-1926	210	15790446:924	15795403:5881	15800360:10838	15803010:13488	15803010:13488	15803010:13488	15803010:13488	15803010:13488	15803010:13488	15803010	213,214,215,216,217,218	13488	RESIDUAL_M218
1043619	2350	1053533	72428	4956	1039842	-1912	210	15790222:918	15795178:5874	15800134:10830	15802995:13691	15802995:13691	15802995:13691	15802995:13691	15802995:13691	15802995:13691	15802995	213,214,215,216,217,218	13691	RESIDUAL_M218
1043620	2349	1053532	72427	4955	1039638	-1898	210	15789998:912	15794953:5867	15799908:10822	15802980:13894	15802980:13894	15802980:13894	15802980:13894	15802980:13894	15802980:13894	15802980	213,214,215,216,217,218	13894	RESIDUAL_M218
