# rank15 plateau-suffix capacity ledger v1
# Every row is derived from the exact profile optimizer.
# t-columns are capacity:margin, with margin = capacity - 218*a; NA means t<W/lambda.
u	e	N	a	lambda	W	c0	t_min	t210	t211	t212	t213	t214	t215	t216	t217	t218	C	argmax_t	margin	classification
1043655	2314	1053497	72392	4920	1032498	-1408	210	15782158:702	15787078:5622	15791998:10542	15796918:15462	15801838:20382	15802455:20999	15802455:20999	15802455:20999	15802455:20999	15802455	215,216,217,218	20999	RESIDUAL_M218
1043656	2313	1053496	72391	4919	1032294	-1394	210	15781934:696	15786853:5615	15791772:10534	15796691:15453	15801610:20372	15802440:21202	15802440:21202	15802440:21202	15802440:21202	15802440	215,216,217,218	21202	RESIDUAL_M218
1043657	2312	1053495	72390	4918	1032090	-1380	210	15781710:690	15786628:5608	15791546:10526	15796464:15444	15801382:20362	15802425:21405	15802425:21405	15802425:21405	15802425:21405	15802425	215,216,217,218	21405	RESIDUAL_M218
1043658	2311	1053494	72389	4917	1031886	-1366	210	15781486:684	15786403:5601	15791320:10518	15796237:15435	15801154:20352	15802410:21608	15802410:21608	15802410:21608	15802410:21608	15802410	215,216,217,218	21608	RESIDUAL_M218
1043659	2310	1053493	72388	4916	1031682	-1352	210	15781262:678	15786178:5594	15791094:10510	15796010:15426	15800926:20342	15802395:21811	15802395:21811	15802395:21811	15802395:21811	15802395	215,216,217,218	21811	RESIDUAL_M218
1043660	2309	1053492	72387	4915	1031478	-1338	210	15781038:672	15785953:5587	15790868:10502	15795783:15417	15800698:20332	15802380:22014	15802380:22014	15802380:22014	15802380:22014	15802380	215,216,217,218	22014	RESIDUAL_M218
1043661	2308	1053491	72386	4914	1031274	-1324	210	15780814:666	15785728:5580	15790642:10494	15795556:15408	15800470:20322	15802365:22217	15802365:22217	15802365:22217	15802365:22217	15802365	215,216,217,218	22217	RESIDUAL_M218
1043662	2307	1053490	72385	4913	1031070	-1310	210	15780590:660	15785503:5573	15790416:10486	15795329:15399	15800242:20312	15802350:22420	15802350:22420	15802350:22420	15802350:22420	15802350	215,216,217,218	22420	RESIDUAL_M218
1043663	2306	1053489	72384	4912	1030866	-1296	210	15780366:654	15785278:5566	15790190:10478	15795102:15390	15800014:20302	15802335:22623	15802335:22623	15802335:22623	15802335:22623	15802335	215,216,217,218	22623	RESIDUAL_M218
1043664	2305	1053488	72383	4911	1030662	-1282	210	15780142:648	15785053:5559	15789964:10470	15794875:15381	15799786:20292	15802320:22826	15802320:22826	15802320:22826	15802320:22826	15802320	215,216,217,218	22826	RESIDUAL_M218
1043665	2304	1053487	72382	4910	1030458	-1268	210	15779918:642	15784828:5552	15789738:10462	15794648:15372	15799558:20282	15802305:23029	15802305:23029	15802305:23029	15802305:23029	15802305	215,216,217,218	23029	RESIDUAL_M218
1043666	2303	1053486	72381	4909	1030254	-1254	210	15779694:636	15784603:5545	15789512:10454	15794421:15363	15799330:20272	15802290:23232	15802290:23232	15802290:23232	15802290:23232	15802290	215,216,217,218	23232	RESIDUAL_M218
1043667	2302	1053485	72380	4908	1030050	-1240	210	15779470:630	15784378:5538	15789286:10446	15794194:15354	15799102:20262	15802275:23435	15802275:23435	15802275:23435	15802275:23435	15802275	215,216,217,218	23435	RESIDUAL_M218
1043668	2301	1053484	72379	4907	1029846	-1226	210	15779246:624	15784153:5531	15789060:10438	15793967:15345	15798874:20252	15802260:23638	15802260:23638	15802260:23638	15802260:23638	15802260	215,216,217,218	23638	RESIDUAL_M218
1043669	2300	1053483	72378	4906	1029642	-1212	210	15779022:618	15783928:5524	15788834:10430	15793740:15336	15798646:20242	15802245:23841	15802245:23841	15802245:23841	15802245:23841	15802245	215,216,217,218	23841	RESIDUAL_M218
1043670	2299	1053482	72377	4905	1029438	-1198	210	15778798:612	15783703:5517	15788608:10422	15793513:15327	15798418:20232	15802230:24044	15802230:24044	15802230:24044	15802230:24044	15802230	215,216,217,218	24044	RESIDUAL_M218
1043671	2298	1053481	72376	4904	1029234	-1184	210	15778574:606	15783478:5510	15788382:10414	15793286:15318	15798190:20222	15802215:24247	15802215:24247	15802215:24247	15802215:24247	15802215	215,216,217,218	24247	RESIDUAL_M218
1043672	2297	1053480	72375	4903	1029030	-1170	210	15778350:600	15783253:5503	15788156:10406	15793059:15309	15797962:20212	15802200:24450	15802200:24450	15802200:24450	15802200:24450	15802200	215,216,217,218	24450	RESIDUAL_M218
1043673	2296	1053479	72374	4902	1028826	-1156	210	15778126:594	15783028:5496	15787930:10398	15792832:15300	15797734:20202	15802185:24653	15802185:24653	15802185:24653	15802185:24653	15802185	215,216,217,218	24653	RESIDUAL_M218
1043674	2295	1053478	72373	4901	1028622	-1142	210	15777902:588	15782803:5489	15787704:10390	15792605:15291	15797506:20192	15802170:24856	15802170:24856	15802170:24856	15802170:24856	15802170	215,216,217,218	24856	RESIDUAL_M218
1043675	2294	1053477	72372	4900	1028418	-1128	210	15777678:582	15782578:5482	15787478:10382	15792378:15282	15797278:20182	15802155:25059	15802155:25059	15802155:25059	15802155:25059	15802155	215,216,217,218	25059	RESIDUAL_M218
1043676	2293	1053476	72371	4899	1028214	-1114	210	15777454:576	15782353:5475	15787252:10374	15792151:15273	15797050:20172	15801949:25071	15802140:25262	15802140:25262	15802140:25262	15802140	216,217,218	25262	RESIDUAL_M218
1043677	2292	1053475	72370	4898	1028010	-1100	210	15777230:570	15782128:5468	15787026:10366	15791924:15264	15796822:20162	15801720:25060	15802125:25465	15802125:25465	15802125:25465	15802125	216,217,218	25465	RESIDUAL_M218
1043678	2291	1053474	72369	4897	1027806	-1086	210	15777006:564	15781903:5461	15786800:10358	15791697:15255	15796594:20152	15801491:25049	15802110:25668	15802110:25668	15802110:25668	15802110	216,217,218	25668	RESIDUAL_M218
1043679	2290	1053473	72368	4896	1027602	-1072	210	15776782:558	15781678:5454	15786574:10350	15791470:15246	15796366:20142	15801262:25038	15802095:25871	15802095:25871	15802095:25871	15802095	216,217,218	25871	RESIDUAL_M218
1043680	2289	1053472	72367	4895	1027398	-1058	210	15776558:552	15781453:5447	15786348:10342	15791243:15237	15796138:20132	15801033:25027	15802080:26074	15802080:26074	15802080:26074	15802080	216,217,218	26074	RESIDUAL_M218
1043681	2288	1053471	72366	4894	1027194	-1044	210	15776334:546	15781228:5440	15786122:10334	15791016:15228	15795910:20122	15800804:25016	15802065:26277	15802065:26277	15802065:26277	15802065	216,217,218	26277	RESIDUAL_M218
1043682	2287	1053470	72365	4893	1026990	-1030	210	15776110:540	15781003:5433	15785896:10326	15790789:15219	15795682:20112	15800575:25005	15802050:26480	15802050:26480	15802050:26480	15802050	216,217,218	26480	RESIDUAL_M218
1043683	2286	1053469	72364	4892	1026786	-1016	210	15775886:534	15780778:5426	15785670:10318	15790562:15210	15795454:20102	15800346:24994	15802035:26683	15802035:26683	15802035:26683	15802035	216,217,218	26683	RESIDUAL_M218
1043684	2285	1053468	72363	4891	1026582	-1002	210	15775662:528	15780553:5419	15785444:10310	15790335:15201	15795226:20092	15800117:24983	15802020:26886	15802020:26886	15802020:26886	15802020	216,217,218	26886	RESIDUAL_M218
1043685	2284	1053467	72362	4890	1026378	-988	210	15775438:522	15780328:5412	15785218:10302	15790108:15192	15794998:20082	15799888:24972	15802005:27089	15802005:27089	15802005:27089	15802005	216,217,218	27089	RESIDUAL_M218
1043686	2283	1053466	72361	4889	1026174	-974	210	15775214:516	15780103:5405	15784992:10294	15789881:15183	15794770:20072	15799659:24961	15801990:27292	15801990:27292	15801990:27292	15801990	216,217,218	27292	RESIDUAL_M218
1043687	2282	1053465	72360	4888	1025970	-960	210	15774990:510	15779878:5398	15784766:10286	15789654:15174	15794542:20062	15799430:24950	15801975:27495	15801975:27495	15801975:27495	15801975	216,217,218	27495	RESIDUAL_M218
1043688	2281	1053464	72359	4887	1025766	-946	210	15774766:504	15779653:5391	15784540:10278	15789427:15165	15794314:20052	15799201:24939	15801960:27698	15801960:27698	15801960:27698	15801960	216,217,218	27698	RESIDUAL_M218
1043689	2280	1053463	72358	4886	1025562	-932	210	15774542:498	15779428:5384	15784314:10270	15789200:15156	15794086:20042	15798972:24928	15801945:27901	15801945:27901	15801945:27901	15801945	216,217,218	27901	RESIDUAL_M218
1043690	2279	1053462	72357	4885	1025358	-918	210	15774318:492	15779203:5377	15784088:10262	15788973:15147	15793858:20032	15798743:24917	15801930:28104	15801930:28104	15801930:28104	15801930	216,217,218	28104	RESIDUAL_M218
1043691	2278	1053461	72356	4884	1025154	-904	210	15774094:486	15778978:5370	15783862:10254	15788746:15138	15793630:20022	15798514:24906	15801915:28307	15801915:28307	15801915:28307	15801915	216,217,218	28307	RESIDUAL_M218
1043692	2277	1053460	72355	4883	1024950	-890	210	15773870:480	15778753:5363	15783636:10246	15788519:15129	15793402:20012	15798285:24895	15801900:28510	15801900:28510	15801900:28510	15801900	216,217,218	28510	RESIDUAL_M218
1043693	2276	1053459	72354	4882	1024746	-876	210	15773646:474	15778528:5356	15783410:10238	15788292:15120	15793174:20002	15798056:24884	15801885:28713	15801885:28713	15801885:28713	15801885	216,217,218	28713	RESIDUAL_M218
1043694	2275	1053458	72353	4881	1024542	-862	210	15773422:468	15778303:5349	15783184:10230	15788065:15111	15792946:19992	15797827:24873	15801870:28916	15801870:28916	15801870:28916	15801870	216,217,218	28916	RESIDUAL_M218
1043695	2274	1053457	72352	4880	1024338	-848	210	15773198:462	15778078:5342	15782958:10222	15787838:15102	15792718:19982	15797598:24862	15801855:29119	15801855:29119	15801855:29119	15801855	216,217,218	29119	RESIDUAL_M218
1043696	2273	1053456	72351	4879	1024134	-834	210	15772974:456	15777853:5335	15782732:10214	15787611:15093	15792490:19972	15797369:24851	15801840:29322	15801840:29322	15801840:29322	15801840	216,217,218	29322	RESIDUAL_M218
1043697	2272	1053455	72350	4878	1023930	-820	210	15772750:450	15777628:5328	15782506:10206	15787384:15084	15792262:19962	15797140:24840	15801825:29525	15801825:29525	15801825:29525	15801825	216,217,218	29525	RESIDUAL_M218
1043698	2271	1053454	72349	4877	1023726	-806	210	15772526:444	15777403:5321	15782280:10198	15787157:15075	15792034:19952	15796911:24829	15801788:29706	15801810:29728	15801810:29728	15801810	217,218	29728	RESIDUAL_M218
1043699	2270	1053453	72348	4876	1023522	-792	210	15772302:438	15777178:5314	15782054:10190	15786930:15066	15791806:19942	15796682:24818	15801558:29694	15801795:29931	15801795:29931	15801795	217,218	29931	RESIDUAL_M218
1043700	2269	1053452	72347	4875	1023318	-778	210	15772078:432	15776953:5307	15781828:10182	15786703:15057	15791578:19932	15796453:24807	15801328:29682	15801780:30134	15801780:30134	15801780	217,218	30134	RESIDUAL_M218
1043701	2268	1053451	72346	4874	1023114	-764	210	15771854:426	15776728:5300	15781602:10174	15786476:15048	15791350:19922	15796224:24796	15801098:29670	15801765:30337	15801765:30337	15801765	217,218	30337	RESIDUAL_M218
1043702	2267	1053450	72345	4873	1022910	-750	210	15771630:420	15776503:5293	15781376:10166	15786249:15039	15791122:19912	15795995:24785	15800868:29658	15801750:30540	15801750:30540	15801750	217,218	30540	RESIDUAL_M218
1043703	2266	1053449	72344	4872	1022706	-736	210	15771406:414	15776278:5286	15781150:10158	15786022:15030	15790894:19902	15795766:24774	15800638:29646	15801735:30743	15801735:30743	15801735	217,218	30743	RESIDUAL_M218
1043704	2265	1053448	72343	4871	1022502	-722	210	15771182:408	15776053:5279	15780924:10150	15785795:15021	15790666:19892	15795537:24763	15800408:29634	15801720:30946	15801720:30946	15801720	217,218	30946	RESIDUAL_M218
1043705	2264	1053447	72342	4870	1022298	-708	210	15770958:402	15775828:5272	15780698:10142	15785568:15012	15790438:19882	15795308:24752	15800178:29622	15801705:31149	15801705:31149	15801705	217,218	31149	RESIDUAL_M218
1043706	2263	1053446	72341	4869	1022094	-694	210	15770734:396	15775603:5265	15780472:10134	15785341:15003	15790210:19872	15795079:24741	15799948:29610	15801690:31352	15801690:31352	15801690	217,218	31352	RESIDUAL_M218
1043707	2262	1053445	72340	4868	1021890	-680	210	15770510:390	15775378:5258	15780246:10126	15785114:14994	15789982:19862	15794850:24730	15799718:29598	15801675:31555	15801675:31555	15801675	217,218	31555	RESIDUAL_M218
1043708	2261	1053444	72339	4867	1021686	-666	210	15770286:384	15775153:5251	15780020:10118	15784887:14985	15789754:19852	15794621:24719	15799488:29586	15801660:31758	15801660:31758	15801660	217,218	31758	RESIDUAL_M218
1043709	2260	1053443	72338	4866	1021482	-652	210	15770062:378	15774928:5244	15779794:10110	15784660:14976	15789526:19842	15794392:24708	15799258:29574	15801645:31961	15801645:31961	15801645	217,218	31961	RESIDUAL_M218
1043710	2259	1053442	72337	4865	1021278	-638	210	15769838:372	15774703:5237	15779568:10102	15784433:14967	15789298:19832	15794163:24697	15799028:29562	15801630:32164	15801630:32164	15801630	217,218	32164	RESIDUAL_M218
1043711	2258	1053441	72336	4864	1021074	-624	210	15769614:366	15774478:5230	15779342:10094	15784206:14958	15789070:19822	15793934:24686	15798798:29550	15801615:32367	15801615:32367	15801615	217,218	32367	RESIDUAL_M218
1043712	2257	1053440	72335	4863	1020870	-610	210	15769390:360	15774253:5223	15779116:10086	15783979:14949	15788842:19812	15793705:24675	15798568:29538	15801600:32570	15801600:32570	15801600	217,218	32570	RESIDUAL_M218
1043713	2256	1053439	72334	4862	1020666	-596	210	15769166:354	15774028:5216	15778890:10078	15783752:14940	15788614:19802	15793476:24664	15798338:29526	15801585:32773	15801585:32773	15801585	217,218	32773	RESIDUAL_M218
1043714	2255	1053438	72333	4861	1020462	-582	210	15768942:348	15773803:5209	15778664:10070	15783525:14931	15788386:19792	15793247:24653	15798108:29514	15801570:32976	15801570:32976	15801570	217,218	32976	RESIDUAL_M218
1043715	2254	1053437	72332	4860	1020258	-568	210	15768718:342	15773578:5202	15778438:10062	15783298:14922	15788158:19782	15793018:24642	15797878:29502	15801555:33179	15801555:33179	15801555	217,218	33179	RESIDUAL_M218
1043716	2253	1053436	72331	4859	1020054	-554	210	15768494:336	15773353:5195	15778212:10054	15783071:14913	15787930:19772	15792789:24631	15797648:29490	15801540:33382	15801540:33382	15801540	217,218	33382	RESIDUAL_M218
1043717	2252	1053435	72330	4858	1019850	-540	210	15768270:330	15773128:5188	15777986:10046	15782844:14904	15787702:19762	15792560:24620	15797418:29478	15801525:33585	15801525:33585	15801525	217,218	33585	RESIDUAL_M218
1043718	2251	1053434	72329	4857	1019646	-526	210	15768046:324	15772903:5181	15777760:10038	15782617:14895	15787474:19752	15792331:24609	15797188:29466	15801510:33788	15801510:33788	15801510	217,218	33788	RESIDUAL_M218
1043719	2250	1053433	72328	4856	1019442	-512	210	15767822:318	15772678:5174	15777534:10030	15782390:14886	15787246:19742	15792102:24598	15796958:29454	15801495:33991	15801495:33991	15801495	217,218	33991	RESIDUAL_M218
1043720	2249	1053432	72327	4855	1019238	-498	210	15767598:312	15772453:5167	15777308:10022	15782163:14877	15787018:19732	15791873:24587	15796728:29442	15801480:34194	15801480:34194	15801480	217,218	34194	RESIDUAL_M218
1043721	2248	1053431	72326	4854	1019034	-484	210	15767374:306	15772228:5160	15777082:10014	15781936:14868	15786790:19722	15791644:24576	15796498:29430	15801352:34284	15801465:34397	15801465	218	34397	RESIDUAL_M218
1043722	2247	1053430	72325	4853	1018830	-470	210	15767150:300	15772003:5153	15776856:10006	15781709:14859	15786562:19712	15791415:24565	15796268:29418	15801121:34271	15801450:34600	15801450	218	34600	RESIDUAL_M218
1043723	2246	1053429	72324	4852	1018626	-456	210	15766926:294	15771778:5146	15776630:9998	15781482:14850	15786334:19702	15791186:24554	15796038:29406	15800890:34258	15801435:34803	15801435	218	34803	RESIDUAL_M218
1043724	2245	1053428	72323	4851	1018422	-442	210	15766702:288	15771553:5139	15776404:9990	15781255:14841	15786106:19692	15790957:24543	15795808:29394	15800659:34245	15801420:35006	15801420	218	35006	RESIDUAL_M218
1043725	2244	1053427	72322	4850	1018218	-428	210	15766478:282	15771328:5132	15776178:9982	15781028:14832	15785878:19682	15790728:24532	15795578:29382	15800428:34232	15801405:35209	15801405	218	35209	RESIDUAL_M218
1043726	2243	1053426	72321	4849	1018014	-414	210	15766254:276	15771103:5125	15775952:9974	15780801:14823	15785650:19672	15790499:24521	15795348:29370	15800197:34219	15801390:35412	15801390	218	35412	RESIDUAL_M218
1043727	2242	1053425	72320	4848	1017810	-400	210	15766030:270	15770878:5118	15775726:9966	15780574:14814	15785422:19662	15790270:24510	15795118:29358	15799966:34206	15801375:35615	15801375	218	35615	RESIDUAL_M218
1043728	2241	1053424	72319	4847	1017606	-386	210	15765806:264	15770653:5111	15775500:9958	15780347:14805	15785194:19652	15790041:24499	15794888:29346	15799735:34193	15801360:35818	15801360	218	35818	RESIDUAL_M218
1043729	2240	1053423	72318	4846	1017402	-372	210	15765582:258	15770428:5104	15775274:9950	15780120:14796	15784966:19642	15789812:24488	15794658:29334	15799504:34180	15801345:36021	15801345	218	36021	RESIDUAL_M218
1043730	2239	1053422	72317	4845	1017198	-358	210	15765358:252	15770203:5097	15775048:9942	15779893:14787	15784738:19632	15789583:24477	15794428:29322	15799273:34167	15801330:36224	15801330	218	36224	RESIDUAL_M218
1043731	2238	1053421	72316	4844	1016994	-344	210	15765134:246	15769978:5090	15774822:9934	15779666:14778	15784510:19622	15789354:24466	15794198:29310	15799042:34154	15801315:36427	15801315	218	36427	RESIDUAL_M218
1043732	2237	1053420	72315	4843	1016790	-330	210	15764910:240	15769753:5083	15774596:9926	15779439:14769	15784282:19612	15789125:24455	15793968:29298	15798811:34141	15801300:36630	15801300	218	36630	RESIDUAL_M218
1043733	2236	1053419	72314	4842	1016586	-316	210	15764686:234	15769528:5076	15774370:9918	15779212:14760	15784054:19602	15788896:24444	15793738:29286	15798580:34128	15801285:36833	15801285	218	36833	RESIDUAL_M218
1043734	2235	1053418	72313	4841	1016382	-302	210	15764462:228	15769303:5069	15774144:9910	15778985:14751	15783826:19592	15788667:24433	15793508:29274	15798349:34115	15801270:37036	15801270	218	37036	RESIDUAL_M218
1043735	2234	1053417	72312	4840	1016178	-288	210	15764238:222	15769078:5062	15773918:9902	15778758:14742	15783598:19582	15788438:24422	15793278:29262	15798118:34102	15801255:37239	15801255	218	37239	RESIDUAL_M218
1043736	2233	1053416	72311	4839	1015974	-274	210	15764014:216	15768853:5055	15773692:9894	15778531:14733	15783370:19572	15788209:24411	15793048:29250	15797887:34089	15801240:37442	15801240	218	37442	RESIDUAL_M218
1043737	2232	1053415	72310	4838	1015770	-260	210	15763790:210	15768628:5048	15773466:9886	15778304:14724	15783142:19562	15787980:24400	15792818:29238	15797656:34076	15801225:37645	15801225	218	37645	RESIDUAL_M218
1043738	2231	1053414	72309	4837	1015566	-246	210	15763566:204	15768403:5041	15773240:9878	15778077:14715	15782914:19552	15787751:24389	15792588:29226	15797425:34063	15801210:37848	15801210	218	37848	RESIDUAL_M218
1043739	2230	1053413	72308	4836	1015362	-232	210	15763342:198	15768178:5034	15773014:9870	15777850:14706	15782686:19542	15787522:24378	15792358:29214	15797194:34050	15801195:38051	15801195	218	38051	RESIDUAL_M218
1043740	2229	1053412	72307	4835	1015158	-218	210	15763118:192	15767953:5027	15772788:9862	15777623:14697	15782458:19532	15787293:24367	15792128:29202	15796963:34037	15801180:38254	15801180	218	38254	RESIDUAL_M218
1043741	2228	1053411	72306	4834	1014954	-204	210	15762894:186	15767728:5020	15772562:9854	15777396:14688	15782230:19522	15787064:24356	15791898:29190	15796732:34024	15801165:38457	15801165	218	38457	RESIDUAL_M218
1043742	2227	1053410	72305	4833	1014750	-190	210	15762670:180	15767503:5013	15772336:9846	15777169:14679	15782002:19512	15786835:24345	15791668:29178	15796501:34011	15801150:38660	15801150	218	38660	RESIDUAL_M218
1043743	2226	1053409	72304	4832	1014546	-176	210	15762413:141	15767212:4940	15772044:9772	15776843:14571	15781675:19403	15786441:24169	15791240:28968	15796072:33800	15800904:38632	15800904	218	38632	RESIDUAL_M218
1043744	2225	1053408	72303	4831	1014342	-162	210	15761972:-82	15766553:4499	15771384:9330	15775965:13911	15780796:18742	15785127:23073	15789708:27654	15794539:32485	15799370:37316	15799370	218	37316	RESIDUAL_M218
1043745	2224	1053407	72302	4830	1014138	-148	210	15761531:-305	15765894:4058	15770724:8888	15775087:13251	15779917:18081	15783813:21977	15788176:26340	15793006:31170	15797836:36000	15797836	218	36000	RESIDUAL_M218
1043746	2223	1053406	72301	4829	1013934	-134	210	15761090:-528	15765235:3617	15770064:8446	15774209:12591	15779038:17420	15782499:20881	15786644:25026	15791473:29855	15796302:34684	15796302	218	34684	RESIDUAL_M218
1043747	2222	1053405	72300	4828	1013730	-120	210	15760649:-751	15764576:3176	15769404:8004	15773331:11931	15778159:16759	15781185:19785	15785112:23712	15789940:28540	15794768:33368	15794768	218	33368	RESIDUAL_M218
1043748	2221	1053404	72299	4827	1013526	-106	210	15760208:-974	15763917:2735	15768744:7562	15772453:11271	15777280:16098	15779871:18689	15783580:22398	15788407:27225	15793234:32052	15793234	218	32052	RESIDUAL_M218
1043749	2220	1053403	72298	4826	1013322	-92	210	15759767:-1197	15763258:2294	15768084:7120	15771575:10611	15776401:15437	15778557:17593	15782048:21084	15786874:25910	15791700:30736	15791700	218	30736	RESIDUAL_M218
1043750	2219	1053402	72297	4825	1013118	-78	210	15759326:-1420	15762599:1853	15767424:6678	15770697:9951	15775522:14776	15777243:16497	15780516:19770	15785341:24595	15790166:29420	15790166	218	29420	RESIDUAL_M218
1043751	2218	1053401	72296	4824	1012914	-64	210	15758885:-1643	15761940:1412	15766764:6236	15769819:9291	15774643:14115	15775929:15401	15778984:18456	15783808:23280	15788632:28104	15788632	218	28104	RESIDUAL_M218
1043752	2217	1053400	72295	4823	1012710	-50	210	15758444:-1866	15761281:971	15766104:5794	15768941:8631	15773764:13454	15774615:14305	15777452:17142	15782275:21965	15787098:26788	15787098	218	26788	RESIDUAL_M218
1043753	2216	1053399	72294	4822	1012506	-36	210	15758003:-2089	15760622:530	15765444:5352	15768063:7971	15772885:12793	15773301:13209	15775920:15828	15780742:20650	15785564:25472	15785564	218	25472	RESIDUAL_M218
1043754	2215	1053398	72293	4821	1012302	-22	210	15757562:-2312	15759963:89	15764784:4910	15767185:7311	15772006:12132	15771987:12113	15774388:14514	15779209:19335	15784030:24156	15784030	218	24156	RESIDUAL_M218
1043755	2214	1053397	72292	4820	1012098	-8	210	15757121:-2535	15759304:-352	15764124:4468	15766307:6651	15771127:11471	15770673:11017	15772856:13200	15777676:18020	15782496:22840	15782496	218	22840	RESIDUAL_M218
1043756	2213	1053396	72291	4819	1011894	6	210	15756680:-2758	15758645:-793	15763464:4026	15765429:5991	15770248:10810	15769359:9921	15771324:11886	15776143:16705	15780911:21473	15780911	218	21473	RESIDUAL_M218
1043757	2212	1053395	72290	4818	1011690	20	210	15756239:-2981	15757986:-1234	15762804:3584	15764551:5331	15769369:10149	15768045:8825	15769792:10572	15774610:15390	15779260:20040	15779260	218	20040	RESIDUAL_M218
1043758	2211	1053394	72289	4817	1011486	34	210	15755798:-3204	15757327:-1675	15762144:3142	15763673:4671	15768490:9488	15766731:7729	15768260:9258	15773077:14075	15777608:18606	15777608	218	18606	RESIDUAL_M218
1043759	2210	1053393	72288	4816	1011282	48	210	15755357:-3427	15756668:-2116	15761484:2700	15762795:4011	15767611:8827	15765417:6633	15766728:7944	15771544:12760	15775956:17172	15775956	218	17172	RESIDUAL_M218
1043760	2209	1053392	72287	4815	1011078	62	210	15754916:-3650	15756009:-2557	15760824:2258	15761917:3351	15766732:8166	15764103:5537	15765196:6630	15770011:11445	15774305:15739	15774305	218	15739	RESIDUAL_M218
1043761	2208	1053391	72286	4814	1010874	76	210	15754475:-3873	15755350:-2998	15760164:1816	15761039:2691	15765853:7505	15762789:4441	15763664:5316	15768478:10130	15772653:14305	15772653	218	14305	RESIDUAL_M218
1043762	2207	1053390	72285	4813	1010670	90	210	15754034:-4096	15754691:-3439	15759504:1374	15760161:2031	15764974:6844	15761475:3345	15762132:4002	15766945:8815	15771002:12872	15771002	218	12872	RESIDUAL_M218
1043763	2206	1053389	72284	4812	1010466	104	210	15753593:-4319	15754032:-3880	15758844:932	15759283:1371	15764095:6183	15760161:2249	15760600:2688	15765412:7500	15769350:11438	15769350	218	11438	RESIDUAL_M218
1043764	2205	1053388	72283	4811	1010262	118	210	15753152:-4542	15753373:-4321	15758184:490	15758405:711	15763216:5522	15758847:1153	15759068:1374	15763879:6185	15767698:10004	15767698	218	10004	RESIDUAL_M218
1043765	2204	1053387	72282	4810	1010058	132	210	15752711:-4765	15752714:-4762	15757524:48	15757527:51	15762337:4861	15757533:57	15757536:60	15762346:4870	15766047:8571	15766047	218	8571	RESIDUAL_M218
1043766	2203	1053386	72281	4809	1009854	146	210	15751840:-5418	15751840:-5418	15756649:-609	15756649:-609	15760813:3555	15756004:-1254	15756004:-1254	15760813:3555	15764395:7137	15764395	218	7137	RESIDUAL_M218
1043767	2202	1053385	72280	4808	1009650	160	210	15750963:-6077	15750963:-6077	15755771:-1269	15755771:-1269	15759280:2240	15754472:-2568	15754472:-2568	15759280:2240	15762744:5704	15762744	218	5704	RESIDUAL_M218
1043768	2201	1053384	72279	4807	1009446	174	210	15750086:-6736	15750086:-6736	15754893:-1929	15754893:-1929	15757747:925	15752940:-3882	15752940:-3882	15757747:925	15761092:4270	15761092	218	4270	RESIDUAL_M218
1043769	2200	1053383	72278	4806	1009242	188	210	15749209:-7395	15749209:-7395	15754015:-2589	15754015:-2589	15756214:-390	15751408:-5196	15751408:-5196	15756214:-390	15759440:2836	15759440	218	2836	RESIDUAL_M218
1043770	2199	1053382	72277	4805	1009038	202	210	15748332:-8054	15748332:-8054	15753137:-3249	15753137:-3249	15754681:-1705	15749876:-6510	15749876:-6510	15754681:-1705	15757789:1403	15757789	218	1403	RESIDUAL_M218
1043771	2198	1053381	72276	4804	1008834	216	210	15747455:-8713	15747455:-8713	15752259:-3909	15752259:-3909	15753148:-3020	15748344:-7824	15748344:-7824	15753148:-3020	15756137:-31	15756137	218	-31	PROVED_M_LE_217
1043772	2197	1053380	72275	4803	1008630	230	210	15746578:-9372	15746578:-9372	15751381:-4569	15751381:-4569	15751615:-4335	15746812:-9138	15746812:-9138	15751615:-4335	15754486:-1464	15754486	218	-1464	PROVED_M_LE_217
1043773	2196	1053379	72274	4802	1008426	244	211	NA	15745701:-10031	15750503:-5229	15750503:-5229	15750082:-5650	15745280:-10452	15745280:-10452	15750082:-5650	15752834:-2898	15752834	218	-2898	PROVED_M_LE_217
1043774	2195	1053378	72273	4801	1008222	258	211	NA	15744824:-10690	15749625:-5889	15749625:-5889	15748549:-6965	15743748:-11766	15743748:-11766	15748549:-6965	15751182:-4332	15751182	218	-4332	PROVED_M_LE_217
1043775	2194	1053377	72272	4800	1008018	272	211	NA	15743947:-11349	15748747:-6549	15748747:-6549	15747016:-8280	15742216:-13080	15742216:-13080	15747016:-8280	15749531:-5765	15749531	218	-5765	PROVED_M_LE_217
1043776	2193	1053376	72271	4799	1007814	286	211	NA	15743070:-12008	15747869:-7209	15747869:-7209	15745483:-9595	15740684:-14394	15740684:-14394	15745483:-9595	15747879:-7199	15747879	218	-7199	PROVED_M_LE_217
1043777	2192	1053375	72270	4798	1007610	300	211	NA	15742193:-12667	15746991:-7869	15746991:-7869	15743950:-10910	15739152:-15708	15739152:-15708	15743950:-10910	15746228:-8632	15746991	212,213	-7869	PROVED_M_LE_217
1043778	2191	1053374	72269	4797	1007406	314	211	NA	15741316:-13326	15746113:-8529	15746113:-8529	15742417:-12225	15737620:-17022	15737620:-17022	15742417:-12225	15744576:-10066	15746113	212,213	-8529	PROVED_M_LE_217
